STT,Từ khóa,Mã loại,Tên loại,Danh_sach_tu_khoa,Danh_sach_tu_khoa_chuan,Text_TFIDF
174,"nhân viên, cấp nước, hồ sơ nước, nợ, tháng, nghiêm trọng, cắt nước, toàn bộ, phút, không xử lý ngay, ảnh hưởng, cả tuyến phố, chip đo nước theo tuyến, tự động cắt, chậm là phạt nặng, nghìn người đang chờ, tải ứng dụng, Water Support, kết bạn, Zalo, mã truy cập, link, Zoom, xác nhận chủ hộ, mở khóa thanh toán",14,Lừa đảo phí điện nước,"[""nhân_viên"", ""cấp_nước"", ""hồ_sơ_nước"", ""nợ"", ""tháng"", ""nghiêm_trọng"", ""cắt_nước"", ""toàn_bộ"", ""phút"", ""không_xử_lý_ngay"", ""ảnh_hưởng"", ""cả_tuyến_phố"", ""chip_đo_nước_theo_tuyến"", ""tự_động_cắt"", ""chậm_là_phạt_nặng"", ""nghìn_người_đang_chờ"", ""tải_ứng_dụng"", ""water_support"", ""kết_bạn"", ""zalo"", ""mã_truy_cập"", ""zoom"", ""xác_nhận_chủ_hộ"", ""mở_khóa_thanh_toán""]","[""nhân_viên"", ""cấp_nước"", ""hồ_sơ"", ""nước"", ""nợ"", ""tháng"", ""nghiêm_trọng"", ""cắt_nước"", ""toàn_bộ"", ""phút"", ""không"", ""xử_lý"", ""ngay"", ""ảnh_hưởng"", ""cả_tuyến_phố"", ""chip_đo_nước_theo_tuyến"", ""tự_động"", ""cắt"", ""chậm_là_phạt_nặng"", ""nghìn_người_đang_chờ"", ""tải"", ""ứng_dụng"", ""water_support"", ""kết_bạn"", ""zalo"", ""mã"", ""truy_cập"", ""zoom"", ""xác_nhận"", ""chủ_hộ"", ""mở"", ""khóa"", ""thanh_toán""]",nhân_viên cấp_nước hồ_sơ nước nợ tháng nghiêm_trọng cắt_nước toàn_bộ phút không xử_lý ngay ảnh_hưởng cả_tuyến_phố chip_đo_nước_theo_tuyến tự_động cắt chậm_là_phạt_nặng nghìn_người_đang_chờ tải ứng_dụng water_support kết_bạn zalo mã truy_cập zoom xác_nhận chủ_hộ mở khóa thanh_toán
175,"nhân viên, giao nhận, ứng dụng, thương mại điện tử, đơn hàng, 0 đồng, gửi tặng, chương trình, nội bộ, thanh toán, xác nhận, nhập, số điện thoại, app, hệ thống, đơn, chưa cập nhật, link, SMS, truy cập",3,Lừa đảo quà tặng,"[""nhân_viên"", ""giao_nhận"", ""ứng_dụng"", ""thương_mại_điện_tử"", ""đơn_hàng"", ""0_đồng"", ""gửi_tặng"", ""chương_trình"", ""nội_bộ"", ""thanh_toán"", ""xác_nhận"", ""nhập"", ""số_điện_thoại"", ""app"", ""hệ_thống"", ""đơn"", ""chưa_cập_nhật"", ""sms"", ""truy_cập""]","[""nhân_viên"", ""giao_nhận"", ""ứng_dụng"", ""thương_mại"", ""điện_tử"", ""đơn_hàng"", ""0_đồng"", ""gửi_tặng"", ""chương_trình"", ""nội_bộ"", ""thanh_toán"", ""xác_nhận"", ""nhập"", ""số"", ""điện_thoại"", ""hệ_thống"", ""đơn"", ""chưa"", ""cập_nhật"", ""sms"", ""truy_cập""]",nhân_viên giao_nhận ứng_dụng thương_mại điện_tử đơn_hàng 0_đồng gửi_tặng chương_trình nội_bộ thanh_toán xác_nhận nhập số điện_thoại hệ_thống đơn chưa cập_nhật sms truy_cập
176,"cán bộ, công an, phường, số điện thoại, chưa cập nhật, định danh, mức 2, cấp độ 2, khóa hồ sơ, Zalo, cài app, dịch vụ công, nạp tiền, phí dịch vụ, OTP, tài khoản ngân hàng, liên quan, rửa tiền, truy tố, không hợp tác, tài khoản, tạm giữ, chuyển tiền, lệnh bắt giữ",1,Giả mạo là công an,"[""cán_bộ"", ""công_an"", ""phường"", ""số_điện_thoại"", ""chưa_cập_nhật"", ""định_danh"", ""mức_2"", ""cấp_độ_2"", ""khóa_hồ_sơ"", ""zalo"", ""cài_app"", ""dịch_vụ_công"", ""nạp_tiền"", ""phí_dịch_vụ"", ""otp"", ""tài_khoản_ngân_hàng"", ""liên_quan"", ""rửa_tiền"", ""truy_tố"", ""không_hợp_tác"", ""tạm_giữ"", ""lệnh_bắt_giữ""]","[""cán_bộ"", ""công_an"", ""phường"", ""số"", ""điện_thoại"", ""chưa"", ""cập_nhật"", ""định_danh"", ""mức_2"", ""cấp_độ"", ""2"", ""khóa"", ""hồ_sơ"", ""zalo"", ""cài_app"", ""dịch_vụ"", ""công"", ""nạp_tiền"", ""phí"", ""mã_otp"", ""tài_khoản"", ""ngân_hàng"", ""liên_quan"", ""rửa_tiền"", ""truy_tố"", ""không"", ""hợp_tác"", ""tạm_giữ"", ""lệnh"", ""bắt_giữ""]",cán_bộ công_an phường số điện_thoại chưa cập_nhật định_danh mức_2 cấp_độ 2 khóa hồ_sơ zalo cài_app dịch_vụ công nạp_tiền phí mã_otp tài_khoản ngân_hàng liên_quan rửa_tiền truy_tố không hợp_tác tạm_giữ lệnh bắt_giữ
177,"bạn thân, vợ, ngoại tình, chứng cứ, hình ảnh, ghi âm, link, thông tin tài khoản, bảo mật",10,Lừa đảo ngoại tình,"[""bạn_thân"", ""vợ"", ""ngoại_tình"", ""chứng_cứ"", ""hình_ảnh"", ""ghi_âm"", ""thông_tin_tài_khoản"", ""bảo_mật""]","[""bạn_thân"", ""vợ"", ""ngoại_tình"", ""chứng_cứ"", ""hình_ảnh"", ""ghi_âm"", ""thông_tin"", ""tài_khoản"", ""bảo_mật""]",bạn_thân vợ ngoại_tình chứng_cứ hình_ảnh ghi_âm thông_tin tài_khoản bảo_mật
178,"vợ, ngủ với tôi, video, chứng minh, link, tải ứng dụng, SecureView, xem video, cấp quyền, quét mặt, OTP, deepfake mờ, bản HD đầy đủ, thanh toán, tiền, app ngân hàng, chuyển tiền",10,Lừa đảo ngoại tình,"[""vợ"", ""ngủ_với_tôi"", ""video"", ""chứng_minh"", ""tải_ứng_dụng"", ""secureview"", ""xem_video"", ""cấp_quyền"", ""quét_mặt"", ""otp"", ""deepfake_mờ"", ""bản_hd_đầy_đủ"", ""thanh_toán"", ""app_ngân_hàng""]","[""vợ"", ""ngủ_với_tôi"", ""video"", ""chứng_minh"", ""tải"", ""ứng_dụng"", ""secureview"", ""xem_video"", ""cấp_quyền"", ""quét_mặt"", ""mã_otp"", ""deepfake_mờ"", ""bản"", ""hd"", ""đầy_đủ"", ""thanh_toán"", ""app"", ""ngân_hàng""]",vợ ngủ_với_tôi video chứng_minh tải ứng_dụng secureview xem_video cấp_quyền quét_mặt mã_otp deepfake_mờ bản hd đầy_đủ thanh_toán app ngân_hàng
179,"cán bộ, công an, huyện, tài khoản, bị lỗi, chưa cập nhật, định danh, mức 2, treo hồ sơ, hạn chế, giao dịch, ngân hàng, khóa tài khoản, triệu tập, hợp tác, gỡ ứng dụng, VNEID, bị lỗi, báo đỏ, kết bạn, Zalo, cài file, gọi video, xác nhận, đánh dấu, không hợp tác, lập biên bản, đóng hồ sơ, cơ hội cuối, tự chịu, trách nhiệm",1,Giả mạo là công an,"[""cán_bộ"", ""công_an"", ""huyện"", ""bị_lỗi"", ""chưa_cập_nhật"", ""định_danh"", ""mức_2"", ""treo_hồ_sơ"", ""hạn_chế"", ""giao_dịch"", ""ngân_hàng"", ""khóa_tài_khoản"", ""triệu_tập"", ""hợp_tác"", ""gỡ_ứng_dụng"", ""vneid"", ""bị_lỗi"", ""báo_đỏ"", ""kết_bạn"", ""zalo"", ""cài_file"", ""gọi_video"", ""xác_nhận"", ""đánh_dấu"", ""không_hợp_tác"", ""lập_biên_bản"", ""đóng_hồ_sơ"", ""cơ_hội_cuối"", ""tự_chịu"", ""trách_nhiệm""]","[""cán_bộ"", ""công_an"", ""huyện"", ""bị_lỗi"", ""chưa"", ""cập_nhật"", ""định_danh"", ""mức_2"", ""treo"", ""hồ_sơ"", ""hạn_chế"", ""giao_dịch"", ""ngân_hàng"", ""khóa"", ""tài_khoản"", ""triệu_tập"", ""hợp_tác"", ""gỡ"", ""ứng_dụng"", ""vneid"", ""báo_đỏ"", ""kết_bạn"", ""zalo"", ""cài_file"", ""gọi_video"", ""xác_nhận"", ""đánh_dấu"", ""không"", ""lập"", ""biên_bản"", ""đóng"", ""cơ_hội"", ""cuối"", ""tự_chịu"", ""trách_nhiệm""]",cán_bộ công_an huyện bị_lỗi chưa cập_nhật định_danh mức_2 treo hồ_sơ hạn_chế giao_dịch ngân_hàng khóa tài_khoản triệu_tập hợp_tác gỡ ứng_dụng vneid báo_đỏ kết_bạn zalo cài_file gọi_video xác_nhận đánh_dấu không lập biên_bản đóng cơ_hội cuối tự_chịu trách_nhiệm
180,"nhân viên điện lực, hóa đơn tiền điện, chưa cập nhật, xác nhận, kỹ thuật cập nhật, kết bạn, Zalo, tài khoản kỹ thuật, hóa đơn, biên lai",14,Lừa đảo phí điện nước,"[""nhân_viên_điện_lực"", ""hóa_đơn_tiền_điện"", ""chưa_cập_nhật"", ""xác_nhận"", ""kỹ_thuật_cập_nhật"", ""kết_bạn"", ""zalo"", ""tài_khoản_kỹ_thuật"", ""hóa_đơn"", ""biên_lai""]","[""nhân_viên"", ""điện_lực"", ""hóa_đơn_tiền_điện"", ""chưa"", ""cập_nhật"", ""xác_nhận"", ""kỹ_thuật"", ""kết_bạn"", ""zalo"", ""tài_khoản"", ""hóa_đơn"", ""biên_lai""]",nhân_viên điện_lực hóa_đơn_tiền_điện chưa cập_nhật xác_nhận kỹ_thuật kết_bạn zalo tài_khoản hóa_đơn biên_lai
181,"cán bộ, công an, mỹ phẩm, kém chất lượng, thu hồi, khẩn cấp, hoàn tiền, hỗ trợ, tận nơi, hợp tác, lập biên bản, SMS, link, thông tin cá nhân, OTP, biên bản, hoàn tiền, mở ứng dụng, ngân hàng, kiểm tra, tín hiệu, bảo mật, xác thực, số điện thoại, hồ sơ, bị treo, Bộ Công Thương",1,Giả mạo là công an,"[""cán_bộ"", ""công_an"", ""mỹ_phẩm"", ""kém_chất_lượng"", ""thu_hồi"", ""khẩn_cấp"", ""hoàn_tiền"", ""hỗ_trợ"", ""tận_nơi"", ""hợp_tác"", ""lập_biên_bản"", ""sms"", ""thông_tin_cá_nhân"", ""otp"", ""biên_bản"", ""hoàn_tiền"", ""mở_ứng_dụng"", ""ngân_hàng"", ""kiểm_tra"", ""tín_hiệu"", ""bảo_mật"", ""xác_thực"", ""số_điện_thoại"", ""bị_treo"", ""bộ_công_thương""]","[""cán_bộ"", ""công_an"", ""mỹ_phẩm"", ""kém"", ""chất_lượng"", ""thu_hồi"", ""khẩn_cấp"", ""hoàn_tiền"", ""hỗ_trợ"", ""tận_nơi"", ""hợp_tác"", ""lập"", ""biên_bản"", ""sms"", ""thông_tin"", ""cá_nhân"", ""mã_otp"", ""mở"", ""ứng_dụng"", ""ngân_hàng"", ""kiểm_tra"", ""tín_hiệu"", ""bảo_mật"", ""xác_thực"", ""số"", ""điện_thoại"", ""bị_treo"", ""bộ"", ""công_thương""]",cán_bộ công_an mỹ_phẩm kém chất_lượng thu_hồi khẩn_cấp hoàn_tiền hỗ_trợ tận_nơi hợp_tác lập biên_bản sms thông_tin cá_nhân mã_otp mở ứng_dụng ngân_hàng kiểm_tra tín_hiệu bảo_mật xác_thực số điện_thoại bị_treo bộ công_thương
182,"bệnh viện, hỏi thăm, sức khỏe, thông tin cá nhân, bác sĩ, kê thuốc, chưa đủ, mua thêm, sản phẩm, bổ sung, giảm giá, %, bệnh viện tỉnh, có bảo hiểm",8,Lừa đảo liên quan sức khỏe,"[""bệnh_viện"", ""hỏi_thăm"", ""sức_khỏe"", ""thông_tin_cá_nhân"", ""bác_sĩ"", ""kê_thuốc"", ""chưa_đủ"", ""mua_thêm"", ""sản_phẩm"", ""bổ_sung"", ""giảm_giá"", ""bệnh_viện_tỉnh"", ""có_bảo_hiểm""]","[""bệnh_viện"", ""hỏi_thăm"", ""sức_khỏe"", ""thông_tin"", ""cá_nhân"", ""bác_sĩ"", ""kê_thuốc"", ""chưa_đủ"", ""mua_thêm"", ""sản_phẩm"", ""bổ_sung"", ""giảm_giá"", ""tỉnh"", ""có"", ""bảo_hiểm""]",bệnh_viện hỏi_thăm sức_khỏe thông_tin cá_nhân bác_sĩ kê_thuốc chưa_đủ mua_thêm sản_phẩm bổ_sung giảm_giá tỉnh có bảo_hiểm
183,"công an, phường, CCCD, số thuê bao, liên quan, vi phạm pháp luật, nơi ở, số điện thoại, hồ sơ, bị chuyển gấp, nghiêm trọng, liên quan, rửa tiền, lừa đảo, xuyên biên giói, làm việc cấp trên",1,Giả mạo là công an,"[""công_an"", ""phường"", ""cccd"", ""số_thuê_bao"", ""liên_quan"", ""vi_phạm_pháp_luật"", ""nơi_ở"", ""số_điện_thoại"", ""bị_chuyển_gấp"", ""nghiêm_trọng"", ""liên_quan"", ""rửa_tiền"", ""lừa_đảo"", ""xuyên_biên_giói"", ""làm_việc_cấp_trên""]","[""công_an"", ""phường"", ""căn_cước"", ""số"", ""thuê_bao"", ""liên_quan"", ""vi_phạm_pháp_luật"", ""nơi_ở"", ""điện_thoại"", ""bị_chuyển_gấp"", ""nghiêm_trọng"", ""rửa_tiền"", ""lừa_đảo"", ""xuyên_biên_giói"", ""làm_việc"", ""cấp"", ""trên""]",công_an phường căn_cước số thuê_bao liên_quan vi_phạm_pháp_luật nơi_ở điện_thoại bị_chuyển_gấp nghiêm_trọng rửa_tiền lừa_đảo xuyên_biên_giói làm_việc cấp trên
184,"chăm sóc khách hàng, điện lực, hóa đơn tiền điện, chưa cập nhật, hệ thống bị lỗi, không xác nhận ngay, cắt điện, kết bạn, Zalo, biên lai thanh toán, cập nhật dữ liệu, đang bảo trì, gửi biên lai trước",14,Lừa đảo phí điện nước,"[""chăm_sóc_khách_hàng"", ""điện_lực"", ""hóa_đơn_tiền_điện"", ""chưa_cập_nhật"", ""hệ_thống_bị_lỗi"", ""không_xác_nhận_ngay"", ""cắt_điện"", ""kết_bạn"", ""zalo"", ""biên_lai_thanh_toán"", ""cập_nhật_dữ_liệu"", ""đang_bảo_trì"", ""gửi_biên_lai_trước""]","[""chăm_sóc"", ""khách_hàng"", ""điện_lực"", ""hóa_đơn_tiền_điện"", ""chưa"", ""cập_nhật"", ""hệ_thống"", ""bị"", ""lỗi"", ""không"", ""xác_nhận"", ""ngay"", ""cắt_điện"", ""kết_bạn"", ""zalo"", ""biên_lai"", ""thanh_toán"", ""dữ_liệu"", ""đang"", ""bảo_trì"", ""gửi"", ""trước""]",chăm_sóc khách_hàng điện_lực hóa_đơn_tiền_điện chưa cập_nhật hệ_thống bị lỗi không xác_nhận ngay cắt_điện kết_bạn zalo biên_lai thanh_toán dữ_liệu đang bảo_trì gửi trước
185,"thông tin chưa khớp, trùng thông tin, xác minh hồ sơ, xin ngày sinh, xin CCCD, gửi link xác nhận, làm trong hôm nay",9,Giả mạo đại sứ quán,"[""thông_tin_chưa_khớp"", ""trùng_thông_tin"", ""xác_minh_hồ_sơ"", ""xin_ngày_sinh"", ""xin_cccd"", ""gửi_link_xác_nhận"", ""làm_trong_hôm_nay""]","[""thông_tin"", ""chưa"", ""khớp"", ""trùng"", ""xác_minh"", ""hồ_sơ"", ""xin"", ""ngày_sinh"", ""xin_cccd"", ""gửi"", ""link"", ""xác_nhận"", ""làm"", ""trong"", ""hôm_nay""]",thông_tin chưa khớp trùng xác_minh hồ_sơ xin ngày_sinh xin_cccd gửi link xác_nhận làm trong hôm_nay
186,"nhân viên giao hàng, giao hàng, đơn hàng, xác nhận, giao, yêu cầu, chuyển tiền, tài khoản, vận chuyển, phí, chuyển tiền",7,Giả mạo người giao hàng,"[""nhân_viên_giao_hàng"", ""giao_hàng"", ""đơn_hàng"", ""xác_nhận"", ""giao"", ""yêu_cầu"", ""vận_chuyển"", ""phí""]","[""nhân_viên"", ""giao"", ""hàng"", ""giao_hàng"", ""đơn_hàng"", ""xác_nhận"", ""yêu_cầu"", ""vận_chuyển"", ""phí""]",nhân_viên giao hàng giao_hàng đơn_hàng xác_nhận yêu_cầu vận_chuyển phí
187,"cán bộ, Công an, tỉnh, lừa đảo, chiếm đoạt tài sản, hồ sơ, thụ lý, CMND, CCCD, hộ khẩu, SIM, vị trí điện thoại, không được tắt, không được báo ai khác, hợp tác, tuyệt đối, tạm giữ, vụ án, nghiêm trọng",1,Giả mạo là công an,"[""cán_bộ"", ""công_an"", ""tỉnh"", ""lừa_đảo"", ""chiếm_đoạt_tài_sản"", ""thụ_lý"", ""cmnd"", ""cccd"", ""hộ_khẩu"", ""sim"", ""vị_trí_điện_thoại"", ""không_được_tắt"", ""không_được_báo_ai_khác"", ""hợp_tác"", ""tuyệt_đối"", ""tạm_giữ"", ""vụ_án"", ""nghiêm_trọng""]","[""cán_bộ"", ""công_an"", ""tỉnh"", ""lừa_đảo"", ""chiếm_đoạt"", ""tài_sản"", ""thụ_lý"", ""căn_cước"", ""hộ_khẩu"", ""sim"", ""vị_trí"", ""điện_thoại"", ""không_được_tắt"", ""không_được_báo_ai_khác"", ""hợp_tác"", ""tuyệt_đối"", ""tạm_giữ"", ""vụ_án"", ""nghiêm_trọng""]",cán_bộ công_an tỉnh lừa_đảo chiếm_đoạt tài_sản thụ_lý căn_cước hộ_khẩu sim vị_trí điện_thoại không_được_tắt không_được_báo_ai_khác hợp_tác tuyệt_đối tạm_giữ vụ_án nghiêm_trọng
188,"cán bộ, công an, thành phố, bất thường, số điện thoại, giờ, liên quan, lừa đảo, chiếm đoạt, tài sản, khẩn cấp, hợp tác, tuyệt đối, chứng minh, không liên quan, chuyển hồ sơ, điều tra, hình sự, quy kết, tội danh, xác minh, danh tính, họ tên, không tắt máy, không báo cho ai, hồ sơ, tuyệt mật, điều tra, khai báo",1,Giả mạo là công an,"[""cán_bộ"", ""công_an"", ""thành_phố"", ""bất_thường"", ""số_điện_thoại"", ""giờ"", ""liên_quan"", ""lừa_đảo"", ""chiếm_đoạt"", ""tài_sản"", ""khẩn_cấp"", ""hợp_tác"", ""tuyệt_đối"", ""chứng_minh"", ""không_liên_quan"", ""chuyển_hồ_sơ"", ""điều_tra"", ""hình_sự"", ""quy_kết"", ""tội_danh"", ""danh_tính"", ""họ_tên"", ""không_tắt_máy"", ""không_báo_cho_ai"", ""tuyệt_mật"", ""điều_tra"", ""khai_báo""]","[""cán_bộ"", ""công_an"", ""thành_phố"", ""bất_thường"", ""số"", ""điện_thoại"", ""giờ"", ""liên_quan"", ""lừa_đảo"", ""chiếm_đoạt"", ""tài_sản"", ""khẩn_cấp"", ""hợp_tác"", ""tuyệt_đối"", ""chứng_minh"", ""không"", ""chuyển"", ""hồ_sơ"", ""điều_tra"", ""hình_sự"", ""quy_kết"", ""tội_danh"", ""danh_tính"", ""họ_tên"", ""tắt_máy"", ""không_báo_cho_ai"", ""tuyệt_mật"", ""khai_báo""]",cán_bộ công_an thành_phố bất_thường số điện_thoại giờ liên_quan lừa_đảo chiếm_đoạt tài_sản khẩn_cấp hợp_tác tuyệt_đối chứng_minh không chuyển hồ_sơ điều_tra hình_sự quy_kết tội_danh danh_tính họ_tên tắt_máy không_báo_cho_ai tuyệt_mật khai_báo
189,"nhân viên, bộ phận an ninh, tài khoản, giao dịch, chuyển tiền quốc tế, chuyển tiền, quốc tế, không thực hiện, tài khoản, bị xâm nhập, xác thực, khóa giao dịch, cung cấp, 3 số cuối CMND, xác nhận, chủ tài khoản, link, thông tin thẻ, số dư, mã CVV, chuyển tiền, ví bảo mật",2,Lừa đảo tài chính – ngân hàng,"[""nhân_viên"", ""bộ_phận_an_ninh"", ""giao_dịch"", ""chuyển_tiền_quốc_tế"", ""quốc_tế"", ""không_thực_hiện"", ""bị_xâm_nhập"", ""xác_thực"", ""khóa_giao_dịch"", ""cung_cấp"", ""3_số_cuối_cmnd"", ""xác_nhận"", ""chủ_tài_khoản"", ""thông_tin_thẻ"", ""số_dư"", ""mã_cvv"", ""ví_bảo_mật""]","[""nhân_viên"", ""bộ_phận"", ""an_ninh"", ""giao_dịch"", ""chuyển"", ""tiền"", ""quốc_tế"", ""không"", ""thực_hiện"", ""bị"", ""xâm_nhập"", ""xác_thực"", ""khóa"", ""cung_cấp"", ""3_số_cuối_cmnd"", ""xác_nhận"", ""chủ"", ""tài_khoản"", ""thông_tin"", ""thẻ"", ""số_dư"", ""mã_cvv"", ""ví"", ""bảo_mật""]",nhân_viên bộ_phận an_ninh giao_dịch chuyển tiền quốc_tế không thực_hiện bị xâm_nhập xác_thực khóa cung_cấp 3_số_cuối_cmnd xác_nhận chủ tài_khoản thông_tin thẻ số_dư mã_cvv ví bảo_mật
190,"tư vấn viên, tài chính, đầu tư, quốc tế, được chọn, nhóm, khách hàng, ưu tiên, tham gia, lợi nhuận, đặc biệt, hợp đồng, tự động, tài khoản, VIP, rút tiền, nạp, lên hạng, sinh lời, thông tin, hướng dẫn, chuyển tiền, kích hoạt, công ty, cam kết, phút, tiền",2,Lừa đảo tài chính – ngân hàng,"[""tư_vấn_viên"", ""tài_chính"", ""đầu_tư"", ""quốc_tế"", ""được_chọn"", ""nhóm"", ""khách_hàng"", ""ưu_tiên"", ""tham_gia"", ""lợi_nhuận"", ""đặc_biệt"", ""hợp_đồng"", ""tự_động"", ""vip"", ""rút_tiền"", ""nạp"", ""lên_hạng"", ""sinh_lời"", ""thông_tin"", ""hướng_dẫn"", ""kích_hoạt"", ""công_ty"", ""cam_kết"", ""phút""]","[""tư_vấn_viên"", ""tài_chính"", ""đầu_tư"", ""quốc_tế"", ""được_chọn"", ""nhóm"", ""khách_hàng"", ""ưu_tiên"", ""tham_gia"", ""lợi_nhuận"", ""đặc_biệt"", ""hợp_đồng"", ""tự_động"", ""vip"", ""rút_tiền"", ""nạp"", ""lên_hạng"", ""sinh_lời"", ""thông_tin"", ""hướng_dẫn"", ""kích_hoạt"", ""công_ty"", ""cam_kết"", ""phút""]",tư_vấn_viên tài_chính đầu_tư quốc_tế được_chọn nhóm khách_hàng ưu_tiên tham_gia lợi_nhuận đặc_biệt hợp_đồng tự_động vip rút_tiền nạp lên_hạng sinh_lời thông_tin hướng_dẫn kích_hoạt công_ty cam_kết phút
191,"nhân viên, công ty, tài chính, hồ sơ, vay, tín chấp, được duyệt, tự động, đăng ký, nhân viên, hỗ trợ, yêu cầu, đóng phí, phí, bảo hiểm, khoản vay, giải ngân, tiền, phạt, nghiêm trọng, nợ xấu, chuyển tiền, tài khoản, công ty, kích hoạt",2,Lừa đảo tài chính – ngân hàng,"[""nhân_viên"", ""công_ty"", ""tài_chính"", ""vay"", ""tín_chấp"", ""được_duyệt"", ""tự_động"", ""đăng_ký"", ""nhân_viên"", ""hỗ_trợ"", ""yêu_cầu"", ""đóng_phí"", ""phí"", ""bảo_hiểm"", ""khoản_vay"", ""giải_ngân"", ""phạt"", ""nghiêm_trọng"", ""nợ_xấu"", ""công_ty"", ""kích_hoạt""]","[""nhân_viên"", ""công_ty"", ""tài_chính"", ""vay"", ""tín_chấp"", ""được_duyệt"", ""tự_động"", ""đăng_ký"", ""hỗ_trợ"", ""yêu_cầu"", ""đóng_phí"", ""phí"", ""bảo_hiểm"", ""khoản_vay"", ""giải_ngân"", ""phạt"", ""nghiêm_trọng"", ""nợ_xấu"", ""kích_hoạt""]",nhân_viên công_ty tài_chính vay tín_chấp được_duyệt tự_động đăng_ký hỗ_trợ yêu_cầu đóng_phí phí bảo_hiểm khoản_vay giải_ngân phạt nghiêm_trọng nợ_xấu kích_hoạt
192,"công an phường, tài khoản VNEID, bị lỗi đồng bộ dữ liệu, lỗi nội bộ, xử lý ngay, bị khóa, không dùng được/ ngân hàng/ dịch vụ công/ CCCD online, không cần ra phường, phường đang đông người, đồng bộ từ xa, link, mở trình duyệt, cài ứng dụng, cấp toàn bộ quyền, kiểm tra hồ sơ",1,Giả mạo là công an,"[""công_an_phường"", ""tài_khoản_vneid"", ""bị_lỗi_đồng_bộ_dữ_liệu"", ""lỗi_nội_bộ"", ""xử_lý_ngay"", ""bị_khóa"", ""không_dùng_được_ngân_hàng_dịch_vụ_công_cccd_online"", ""không_cần_ra_phường"", ""phường_đang_đông_người"", ""đồng_bộ_từ_xa"", ""mở_trình_duyệt"", ""cài_ứng_dụng"", ""cấp_toàn_bộ_quyền"", ""kiểm_tra_hồ_sơ""]","[""công_an"", ""phường"", ""tài_khoản"", ""vneid"", ""bị"", ""lỗi"", ""đồng_bộ"", ""dữ_liệu"", ""nội_bộ"", ""xử_lý"", ""ngay"", ""bị_khóa"", ""không"", ""dùng"", ""được"", ""ngân_hàng"", ""dịch_vụ"", ""công"", ""cccd"", ""online"", ""không_cần_ra_phường"", ""phường_đang_đông_người"", ""từ"", ""xa"", ""mở"", ""trình_duyệt"", ""cài"", ""ứng_dụng"", ""cấp"", ""toàn_bộ"", ""quyền"", ""kiểm_tra"", ""hồ_sơ""]",công_an phường tài_khoản vneid bị lỗi đồng_bộ dữ_liệu nội_bộ xử_lý ngay bị_khóa không dùng được ngân_hàng dịch_vụ công cccd online không_cần_ra_phường phường_đang_đông_người từ xa mở trình_duyệt cài ứng_dụng cấp toàn_bộ quyền kiểm_tra hồ_sơ
193,"nhân viên ngân hàng, ngân hàng, phê duyệt, mở thẻ, tín dụng, hạn mức, miễn phí, yêu cầu, xác nhận, đăng ký, cung cấp, họ tên, số CCCD, số tài khoản, chuyển tiền, tài khoản, giao dịch, giờ",2,Lừa đảo tài chính – ngân hàng,"[""nhân_viên_ngân_hàng"", ""ngân_hàng"", ""phê_duyệt"", ""mở_thẻ"", ""tín_dụng"", ""hạn_mức"", ""miễn_phí"", ""yêu_cầu"", ""xác_nhận"", ""đăng_ký"", ""cung_cấp"", ""họ_tên"", ""số_cccd"", ""số_tài_khoản"", ""giao_dịch"", ""giờ""]","[""nhân_viên"", ""ngân_hàng"", ""phê_duyệt"", ""mở_thẻ"", ""tín_dụng"", ""hạn_mức"", ""miễn_phí"", ""yêu_cầu"", ""xác_nhận"", ""đăng_ký"", ""cung_cấp"", ""họ_tên"", ""số_cccd"", ""số"", ""tài_khoản"", ""giao_dịch"", ""giờ""]",nhân_viên ngân_hàng phê_duyệt mở_thẻ tín_dụng hạn_mức miễn_phí yêu_cầu xác_nhận đăng_ký cung_cấp họ_tên số_cccd số tài_khoản giao_dịch giờ
194,"shipper, đơn hàng, bị lỗi, xác nhận, hệ thống, link, hoàn tất, nhanh, xử lý, dữ liệu, yêu cầu, để yên, phút, quyền, truy cập, kiểm tra, thông tin, thanh toán",7,Giả mạo người giao hàng,"[""shipper"", ""đơn_hàng"", ""bị_lỗi"", ""xác_nhận"", ""hệ_thống"", ""hoàn_tất"", ""nhanh"", ""xử_lý"", ""dữ_liệu"", ""yêu_cầu"", ""để_yên"", ""phút"", ""quyền"", ""truy_cập"", ""kiểm_tra"", ""thông_tin"", ""thanh_toán""]","[""shipper"", ""đơn_hàng"", ""bị_lỗi"", ""xác_nhận"", ""hệ_thống"", ""hoàn_tất"", ""nhanh"", ""xử_lý"", ""dữ_liệu"", ""yêu_cầu"", ""để_yên"", ""phút"", ""quyền"", ""truy_cập"", ""kiểm_tra"", ""thông_tin"", ""thanh_toán""]",shipper đơn_hàng bị_lỗi xác_nhận hệ_thống hoàn_tất nhanh xử_lý dữ_liệu yêu_cầu để_yên phút quyền truy_cập kiểm_tra thông_tin thanh_toán
